Not Pelty,Pelty
0.0323,0.9677
0.03732,0.96268
0.03656,0.96344
0.02996,0.97004
0.03792,0.96208
0.03354,0.96646
0.03928,0.96072
0.03054,0.96946
0.03806,0.96194
0.02846,0.97154
0.03508,0.96492
0.04746,0.95254
0.0318,0.9682
0.02766,0.97234
0.03378,0.96622
0.03844,0.96156
0.02682,0.97318
0.03072,0.96928
0.0323,0.9677
0.02392,0.97608
0.03834,0.96166
0.03174,0.96826
0.0305,0.9695
0.02824,0.97176
0.03952,0.96048
