Not Pelty,Pelty
0.01968,0.98032
0.01106,0.98894
0.01258,0.98742
0.00946,0.99054
0.01168,0.98832
0.01006,0.98994
0.00838,0.99162
0.0128,0.9872
0.0142,0.9858
0.01078,0.98922
0.00964,0.99036
0.0098,0.9902
0.01206,0.98794
0.01302,0.98698
0.01226,0.98774
0.01026,0.98974
0.0134,0.9866
0.01306,0.98694
0.01244,0.98756
0.01144,0.98856
0.01348,0.98652
0.01042,0.98958
0.0147,0.9853
0.01504,0.98496
0.00912,0.99088
