Not Pelty,Pelty
0.07394,0.92606
0.06292,0.93708
0.07474,0.92526
0.06846,0.93154
0.05088,0.94912
0.07134,0.92866
0.07138,0.92862
0.05858,0.94142
0.05164,0.94836
0.055,0.945
0.04918,0.95082
0.05064,0.94936
0.06224,0.93776
0.07354,0.92646
0.06236,0.93764
0.04042,0.95958
0.05896,0.94104
0.05856,0.94144
0.05346,0.94654
0.05278,0.94722
0.04918,0.95082
0.0376,0.9624
0.04864,0.95136
0.04316,0.95684
0.0347,0.9653
